	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:46 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino3.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
            4096      64  339490  831841  1813215  1883178 1977924  991748 1766239 1444802 1770790   305670   768337 1768603  1861951
            4096     128  343392  828832  1795591  1877005 1921297  977583 1800484 1409479 1780148   311908   781087 1774815  1871077
            4096     256  312146  824971  1767147  1853514 1931232  930059 1720945 1265756 2848213   300054   727812 1786256  1864376
            4096     512  298065  732342  1357254  1399832 1407631  821185 1374081  777974 1620313   291927   627740 1378601  1400288
            4096    1024  290230  687035  1112771  1116968 1105824  746081 1109681  540726 1122221   319127   664834 1093715  1118859
            4096    2048  289224  680989  1104331  1115734 1112123  751006 1110326  421139 1117912   408871   879359 1115517  1119734
            4096    4096  286953  694253  1102276  1107606 1104047  739752 1109394  316435 1114576   290167   684162 1110901  1117912
            8192       4  308491  719608  1479823  1540118 1305272  744865 1287855 1220863 1250135   307151   680177 1410451  1464434
            8192       8  300413  778182  1685556  1770864 1601568  848832 1538394 1575065 1522376   319688   743430 1653277  1729330
            8192      16  307231  825145  1824074  1910912 1834299  931112 1732994 1922566 1767857   299173   776056 1822043  1890202
            8192      32  333551  837882  1914959  1975400 1963996  915507 1860520 1598439 1845927   293019   787474 1881508  1955612
            8192      64  300942  826734  1838814  1902026 1926123  925021 1816840 1561607 1857202   294188   773418 1840883  1906882
            8192     128  307806  837719  1850500  1904240 1929801  921473 1829416 1518742 1894162   299666   775390 1848808  1898873
            8192     256  304740  830089  1838814  1892284 1907729  946606 1839701 1435915 1816456   289706   719849 1856299  1910380
            8192     512  294825  732995  1374290  1394141 1388002  811580 1374730  871415 1691530   276235   598749 1365551  1410220
            8192    1024  285912  682095  1102977  1108528 1101068  753274 1108063  639253 1110032   281386   590710 1110750  1114533
            8192    2048  286503  690387  1101351  1107956 1104644  740754 1106565  545948 1107171   314774   669717 1107456  1114425
            8192    4096  285356  683465  1085759  1106280 1100927  734185 1096360  452019 1099448   413545   878208 1097376  1106992
            8192    8192  314520  693186  1105817  1110930 1111684  707488 1108814  320837 1116380   282473   700107 1105248  1110750
