	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 09:59:14 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino2.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  303383  913649  1304314  2662899 1722886  710511 1734015  863676 2133730   301678   913649 1357066  2203800
              64       8  313664 1033216  1690338  3541098 2892445  969761 2561267 1017549 3363612   347801   866463 1690338  3203069
              64      16  336889 1183548  1599680  4564786 3363612  901377 3203069  792299 3203069   460591  1033216 1690338  3958892
              64      32  344233 1163036  1734015  4564786 3738358 1119387 3363612  586352 1599680   560635  1879725 3203069  4018152
              64      64  365812 1124074  1124074  3203069 2892445  842003 2892445  344233 2892445   326641  1143223 1421755  3203069
             128       4  308403  921183  1455701  2409592 1878447  744820 1852520 1085013 1802755   327399   718889 1487977  2286447
             128       8  333500 1048974  1561553  3199360 2464907  864797 1622919 1266785 3277486   331646  1067750 1663139  3036502
             128      16  334123 1093856  1802755  3759450 3199360 1082825 3124872 1040839 3053774   378663   921183 1878447  3657016
             128      32  335166 1152564  1802755  3867787 3468030  953918 3468030  831319 2367096   423798  1332828 1663139  3657016
             128      64  333293 1111981  1622919  3199360 3124872 1085013 3053774  549056 3124872   509943  1303699 1642783  3124872
             128     128  333293 1133103  1254941  3036502 2985839  853794 2969325  343310 2969325   370050   902598 1373754  3053774
             256       4  315268  927393  1398455  2563818 1924938  773697 1956506 1157291 1817419   321209   729045 1471270  2345409
             256       8  320060 1070737  1718521  3326279 2719671  924200 2692393 1248819 2557711   342304   817898 1683493  3123106
             256      16  326980 1123389  1829808  3667079 3236056  931416 3123106 1306564 2943325   353576  1075025 1829808  3557725
             256      32  331626 1152323  1778290  3879045 3410808 1089202 3410808 1080434 3043436   373240  1169901 1814348  3605511
             256      64  330300 1122215  1673001  3043436 2975955  955451 2943325  790209 2065659   433869  1280084 1673001  3123106
             256     128  339061 1132871  1532153  3087188 2975955 1084800 2783115  552960 2911402   536654  1325925 1600674  3052087
             256     256  334206 1112909  1280084  3052087 3009318  820398 2911402  338633 1152323   341324  1142514 1208072  2880164
             512       4  309712  912733  1358474  2449212 1795846  766464 1827947 1171691 1723770   321008   714920 1926329  2317080
             512       8  359784 1053304  1734911  3012719 2548017  902757 2189509 1130370 2394591   340232   808904 1718254  2991733
             512      16  336184 1118011  1854787  3580298 3012719  997991 2995907 1347393 2815243   359062   864594 1848401  3459188
             512      32  332901 1142396  1895721  3556580 3437042  980673 3104171 1260404 3684733   360025  1068503 1897396  3580298
             512      64  328823 1075459  1797349  3068685 2841317 1077618 2768068 1018341 3046915   373163   896351 1815584  2979282
             512     128  331360 1082507  1689859  2894940 2995907  964378 2678309  788992 2081286   429170  1210664 1625889  2991733
             512     256  332901 1014013  1506154  2739816 2845081 1071167 2275345  545904 1662389   471476  1319250 1455126  2572435
             512     512  337983  869143  1270094  2022482 1968713  860781 1684557  331616 1309596   345265   872320 1199171  1947291
            1024       4  314700  745291  1402756  1780809 1709912  765890 1406891 1146607 1414770   314400   712644 1427940  1693061
            1024       8  327589  852547  1684429  2183727 2226749  923488 1662264 1505523 1885572   330412   801927 1695065  1995982
            1024      16  339743  885048  1845071  2295784 2753527 1010864 1917562 1709912 2197132   336627   854073 1786736  2192645
            1024      32  330743  889631  1841906  2165014 2958362 1050164 2156318 1523683 1865101   338751   851870 1848247  2138070
            1024      64  334191  908640  1792702  2207295 2625597 1022171 2043465 1286378 2844715   348679   861093 1738286  2173780
            1024     128  332793  901394  1735476  2124322 2534194 1149061 1928757 1078106 2348509   363770   888159 1630088  2052253
            1024     256  332999  859026  1625154  2000631 2225595 1028043 1697745  840863 2120127   368989   870694 1597945  1950656
            1024     512  326518  772225  1329791  1521524 1640674  970656 1333093  493742 1420384   450687  1028043 1387798  1523683
            1024    1024  302786  702847  1210257  1220575 1207534  736220 1226500  312297 1220575   311911   709114 1185209  1192117
            2048       4  304620  699460  1397008  1477760 1434331  779287 1258818 1256425 1270548   303586   660824 1359854  1428131
            2048       8  317771  765877  1661237  1732608 1787407  929666 1434331 1386411 1466909   317325   739058 1613798  1689666
            2048      16  331557  818571  1820362  1898409 2174223 1051295 1627866 1358134 1680082   329573   772559 1806199  1882186
            2048      32  331929  827801  1865428  1937372 2314219 1077809 1688669 1499428 1972971   329902   801912 1846580  1923059
            2048      64  332571  827163  1791882  1877250 2087567 1067230 1727034 1375532 1858566   330804   796928 1799389  1866644
            2048     128  331660  828839  1794877  1901351 2167092 1055170 1745990 1274507 2853035   342709   804390 1752044  1871932
            2048     256  335953  823831  1729816  1892971 2076967 1003402 1744572 1095682 2418469   332906   771656 1725300  1892971
            2048     512  319949  741482  1354493  1473451 1441311  780207 1356204  639807 1562145   345479   727540 1397008  1431225
            2048    1024  313400  681967  1138522  1146730 1136564  759646 1147343  436484 1136414   440039   900619 1152422  1158327
            2048    2048  304674  692356  1149185  1161617 1151187  739122 1156456  311909 1160989   314065   694989 1143372  1143372
            4096       4  305144  702457  1427159  1487846 1308164  726888 1270061 1217669 1258339   301375   665272 1360371  1449924
            4096       8  317670  770059  1648928  1737129 1663780  885067 1518755 1509282 1494836   316949   738131 1620925  1691796
            4096      16  334226  824140  1830994  1919365 1944786  966692 1717505 1634495 1806922   324486   780023 1822062  1902573
            4096      32  334747  834022  1884004  1960768 2085490 1010354 1795591 1760989 1824577   328017   783903 1809968  1956079
            4096      64  340790  832003  1795779  1874548 1986386 1000003 1774815 1493797 1859332   326714   781371 1794091  1865996
            4096     128  333196  827674  1826906  1900679 1947873  971557 1822835 1384267 1801239   332274   789813 1759546  1884004
            4096     256  335460  825962  1801994  1901731 1971116  961068 1810922 1270906 2826656   320604   731811 1794278  1885037
            4096     512  317101  739911  1390316  1440200 1419846  825804 1395964  804421 1662331   306976   639207 1409479  1451026
            4096    1024  310701  688273  1117331  1124351 1118786  751992 1122514  559954 1123101   336235   664937 1108821  1117040
            4096    2048  308364  685062  1122221  1127376 1127376  755730 1126858  436671 1133027   435420   878774 1104615  1123395
            4096    4096  305670  694113  1108535  1112699 1115155  734031 1114287  309225 1114866   310067   693413 1112771  1125234
