	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:26 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino0.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  280553  695778  1210227  2662899 1722886  673098 1780008  874936 2067979   271200   855419 1892980  2444640
              64       8  325058 1002351  1599680  3363612 2662899  913649 2467108  955947 3057153   321554   842003 1599680  3203069
              64      16  310759 1066042  1722886  4274062 3588436  926260 3203069  789967 3057153   435202   983980 1734015  3738358
              64      32  307554 1138375  1638743  4018152 3541098 1083249 3363612  560635 1562436   512471  1828508 1421755  4018152
              64      64  306151 1083249  1363961  3363612 3022727  831569 3022727  316997 1143223   306151  1124074 1183548  3203069
             128       4  290859  908709  1467639  2660335 2004703  785122 1967960 1057236 1858934   311445   711270 1424795  2453642
             128       8  314547 1015251  1642783  3380677 2727923  887675 2464907 1206978 2843510   332467  1015251 1684006  2843510
             128      16  309113 1040839  1705404  3867787 3445772 1032829 3277486 1114289 3759450   351630   895074 1705404  3468030
             128      32  316028 1076312  1755594  3895854 3560017  935631 3468030  841746 2409592   407707  1294270 1618028  3657016
             128      64  311445 1093856  1543594  3277486 3277486 1057236 3124872  508012 3199360   488594  1281909 1637771  3124872
             128     128  317711 1059322  1306873  3053774 2920861  848397 2905056  328199 1133103   315286  1093856 1175271  3036502
             256       4  297946  917880  1405778  2486631 1924938  778183 1970871 1023775 1826695   312151   706964 1455317  2305128
             256       8  311066 1040643  1652404  3236056 2639446  886067 2639446 1230218 1600674   306537   999940 1686137  3159869
             256      16  316382 1094754  1814348  3810220 3368013  948698 3087188 1208072 3114048   339061  1094754 1778290  3756894
             256      32  308386 1122215  1826695  3810220 3421677 1062263 3410808 1049800 3197509   339920  1126926 1790149  3557725
             256      64  308475 1058076  1649865  3159869 2943325  897923 2842047  750445 2097948   398744  1243036 1642294  3123106
             256     128  305491 1089202  1552085  2872459 2943325 1052888 2911402  524593 1639786   482839  1696795 1437779  2975955
             256     256  302564 1053922  1286217  3043436 2819657  800221 2943325  328180 1158540   305839  1070737 1158540  3009318
             512       4  297319  875521  1387437  2471765 1854787  771143 1835760 1165966 1293037   287642   824431 1402845  2225819
             512       8  303153  839252  1753325  3196584 2665014  887094 2509312 1429934 2509312   327370   801357 1667552  2864053
             512      16  317449 1080328  1815584  3684733 3346002  980673 3068685 1454140 1917728   312597   812884 1854787  3459188
             512      32  320816 1084694  1827947  3415178 3196584  960496 2891043 1236455 3346002   337505  1022219 1815584  3299730
             512      64  318013 1040545  1734911  2979282 2958758 1062686 2722449  969603 2906696   351884   893740 1753325  2782414
             512     128  301705  994294  1645826  2845081 2860238  890404 2449212  763195 2039772   392033  1093531 1556366  2782414
             512     256  310114  962218  1528669  2894940 2906696 1044594 2285029  529483 1684557   438368  1248678 1379416  2613128
             512     512  309712  836636  1225169  2097550 2024389  839252 1657257  317449 1251589   316840   836636 1163439  2001745
            1024       4  286353  675967  1328146  1659694 1589665  707129 1301187 1133893 1335165   284363   653445 1380217  1638796
            1024       8  307424  811472  1627617  2052253 2255990  895194 1692394 1436056 1872419   310963   767670 1622698  1969440
            1024      16  317820  852039  1825466  2119081 2666347 1007072 1865101 1572783 2236023   315370   829175 1808555  2106609
            1024      32  324055  855433  1851434  2159571 3010197 1039740 2106609 1499217 1848247   327265   821876 1800216  2146618
            1024      64  324864  870694  1790460  2103514 2461573 1010864 2023250 1233545 2611230   335523   835790 1724328  2111788
            1024     128  320381  842843  1693061  2073055 2474336 1113030 1834824 1026078 2782064   350586   864734 1726407  2019445
            1024     256  323835  840698  1630707  2011877 2211841 1002839 1744641  795098 2146618   358547   885778 1633188  1932227
            1024     512  310199  748016  1356245  1565902 1736178  942125 1430318  469302 1448162   434809  1061322 1438461  1607514
            1024    1024  294927  696578  1221964  1235319 1217806  752868 1211964  299242 1227903   297315   695675 1185209  1209234
            2048       4  290496  681534  1340333  1455722 1406616  772211 1166190 1213986 1163663   286677   646063 1313685  1388428
            2048       8  308482  757168  1603854  1699359 1768638  912288 1414259 1437211 1557330   300643   739886 1603854  1654517
            2048      16  316635  801912  1756702  1844994 2147051 1036955 1608961 1352573 1667687   316588   766150 1768638  1840251
            2048      32  315855  813609  1785550  1885905 2214011 1064981 1669307 1467911 1692329   318159   769031 1747411  1858566
            2048      64  326789  817948  1765367  1855355 2094183 1054004 1703741 1335955 1702391   327574   775768 1727034  1841829
            2048     128  325440  858323  1722532  1892971 2135309 1056337 1741389 1246579 2844532   337074   799078 1738569  1873974
            2048     256  323077  826527  1754908  1889224 2070459 1009772 1760663 1055170 2566606   330054   767314 1722532  1883837
            2048     512  316390  753185  1439137  1537539 1522820  820526 1452276  635829 1607757   337630   725451 1454736  1511299
            2048    1024  298108  680616  1142916  1144743 1142916  754309 1140336  419495 1135963   415920   890351 1140336  1177702
            2048    2048  294460  683378  1137166  1155834 1148723  727787 1146118  298720 1157079   298367   630370 1140942  1156456
            4096       4  294570  688991  1451026  1505842 1333343  742566 1244304 1255305 1212599   288147   657355 1414352  1452989
            4096       8  307069  774607  1622302  1756488 1698991  846599 1532301 1626757 1489523   302799   730660 1647505  1712369
            4096      16  319027  800933  1813981  1893765 1940393  946820 1708113 1757206 1713223   314933   756828 1811686  1890222
            4096      32  323466  811258  1794091  1936675 2062457  955668 1784772 1552097 1763338   314518   765597 1832557  1912102
            4096      64  311270  798922  1791658  1868635 1955857  963277 1754156 1433231 1755590   304468   751959 1773166  1858527
            4096     128  308553  801568  1731875  1860137 1920223  911650 1755590 1383821 1731177   308436   755431 1736953  1832557
            4096     256  308924  803142  1725439  1835102 1881528  924404 1736953 1256039 2622157   296532   710504 1742237  1824577
            4096     512  299609  725967  1451026  1505315 1438752  803142 1451884  807901 1616958   290328   625819 1463386  1485145
            4096    1024  290909  665066  1093158  1106108 1102559  726243 1097838  538726 1105895   314282   649429 1107963  1118204
            4096    2048  288205  666666  1091908  1108249 1100511  731437 1101428  419104 1108821   404186   858529 1093158  1122441
            4096    4096  287155  678595  1109752  1119442 1115445  710357 1116677  299719 1123101   287016   671802 1104970  1112988
            8192       4  277733  656411  1379365  1434416 1243485  658411 1219606 1165653 1196086   273430   636470 1366474  1425963
            8192       8  292770  739208  1633160  1682502 1575065  778641 1510065 1595618 1527180   291034   708100 1633237  1699899
            8192      16  301687  786861  1783179  1876678 1824462  844971 1721360 1755752 1735269   293137   745269 1798016  1878422
            8192      32  318917  817236  1867295  1894058 1950949  912662 1828539 1674222 1873710   309413   770435 1869022  1938948
            8192      64  315259  810374  1830585  1856800 1928934  914386 1814825 1474679 1875858   306849   756775 1803679  1873710
            8192     128  318653  817975  1862336  1861428 1935781  918689 1853395 1457106 1904240   309938   757526 1848012  1907729
            8192     256  317567  814872  1859614  1911869 1921169  933769 1854195 1409005 1881920   301920   699394 1850799  1902974
            8192     512  291986  727208  1452486  1477088 1464684  806078 1449667  929224 1733343   271754   587528 1461568  1488349
            8192    1024  283323  667220  1080467  1095487 1088201  734122 1089477  641556 1077452   280942   583725 1076338  1102411
            8192    2048  285993  668570  1080875  1094300 1089927  727855 1091693  550426 1087030   315708   651137 1094161  1111505
            8192    4096  282327  670436  1079008  1089063 1083294  729540 1088201  424190 1087030   405306   866514 1102234  1119581
            8192    8192  280712  674794  1085759  1094161 1094300  715204 1093569  294380 1100786   284275   673802 1081283  1101245
           16384       4  253826  677167  1454540  1503418 1237368  669005 1261768 1181177 1204193   271824   640097 1418891  1449783
           16384       8  288065  747610  1665207  1738509 1547986  770468 1540871 1563483 1527072   284771   712223 1693774  1738553
           16384      16  297723  789635  1822710  1882116 1796268  845416 1770125 1558165 1773368   287720   749257 1804001  1849644
           16384      32  299219  806928  1854886  1930278 1879954  897017 1846711 1713283 1855487   292895   754638 1849644  1877386
           16384      64  298748  800937  1833702  1886871 1865865  892080 1838411 1451866 1856139   288792   742296 1741152  1821840
           16384     128  297597  809008  1823677  1875029 1878926  942695 1840282 1569016 1866271   308764   764400 1806989  1864751
           16384     256  317285  835070  1840282  1879285 1856590  905647 1823484 1551341 1813427   299120   704541 1863336  1877386
