	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:28:16 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino1.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  298990  718114  2052169  2923952 1638743 1049372 1780008  889431 2067979   340306   743988 1492919  2689580
              64       8  323491 1066042  1734015  3363612 2892445 1017549 2561267 1049372 2801873   353294   901377 1679761  3203069
              64      16  327837 1232453  1780008  4274062 3541098  983980 3203069  889431 2133730   438759  1421755 1648808  3958892
              64      32  323102 1183548  1638743  4018152 3588436 1143223 3203069  615952 3406295   592827  1330167 1780008  4207076
              64      64  335206 1163036  1421755  3203069 3203069  866463 2892445  330257 3022727   316997  1183548 1385075  3363612
             128       4  309113  947186  1409828  2166499 1911894  794416 1885042 1085013 1778862   331646   766076 1471662  2420455
             128       8  319222 1082825  1684006  3277486 2714132  908709 2608629 1294270 3468030   350711   841746 1727352  3199360
             128      16  333293 1142750  1802755  3657016 3380677 1074159 3053774 1093856 3468030   369795   921183 1852520  3359523
             128      32  336848 1206978  1802755  3297617 3380677  992724 3359523  877518 2175277   436549  1421023 1684006  3759450
             128      64  335794  985435  2004703  3199360 2920861 1487977 2985839  546819 1618028   546819  1827299 1440082  3199360
             128     128  325809 1130717  1278855  3053774 2920861  826202 2905056  339618 1142750   329812  1165070 1240443  3053774
             256       4  311427  977189  1398455  2557711 1897721  778183 1924938 1071806 1802167   322851   757326 1391207  2392442
             256       8  325691 1099237  1660068  3052087 2613746  913973 2557711 1453348 2509882   346949   842278 1718521  3017775
             256      16  333376 1185399  1790149  3667079 3285566  988889 3197509 1506359 2842047   356510  1142514 1842366  3605511
             256      32  335879 1208072  1829808  3654598 3275543 1126926 3368013 1153561 2842047   377572  1226004 1814348  3770085
             256      64  334623 1168627  1707589  3123106 2975955  965763 2943325  787890 2170027   438296  1298662 1662639  3078337
             256     128  335984 1168627  1532153  3043436 2943325 1126926 2903529  557554 1639786   531343  1829808 1437779  3052087
             256     256  326483 1123389  1280084  2665657 2747508  870268 2509882  339490 1190657   339597  1142514 1213534  2911402
             512       4  314889  924123  1309596  2402629 1778004  770037 1754758 1166599 1718254   324893   740050 1398278  2265742
             512       8  320003 1062161  1662389  2991733 2381315  896725 2370799 1398278 1600443   320577  1009722 1689859  2958758
             512      16  335292 1140576  1789859  3459188 3122224 1017858 2906696 1496706 2942541   347387   885631 1861217  3366987
             512      32  335764 1190529  1882427  3393590 3299730 1009722 2910635 1334001 3346002   359603  1127402 1867692  3527371
             512      64  339318 1135750  1747618  3029721 2894940 1130370 2830083 1064794 2460437   378424  1132755 1741948  2942541
             512     128  334196 1091863  1718254  2768068 2722449  978885 2471765  819398 2187279   436054  1182010 1590957  2736325
             512     256  336606 1080328  1542947  2708713 2722449 1135750 2275345  562638 1674052   465447  1339827 1417662  2695115
             512     512  333988  898225  1251589  1856390 1829505  881269 1605228  328220 1270846   346658   893740 1201856  1882427
            1024       4  312866  782781  1418039  1793451 1732676  817807 1422266 1267398 1273788   312206   743098 1427940  1635675
            1024       8  323737  842182  1648862  2003431 2202766  923290 1695065 1551758 1845071   331713   810095 1635675  1928757
            1024      16  333983  905384  1818510  2251260 2653170 1041758 1796451 1590254 1766163   335078   845498 1787480  2182617
            1024      32  333128  908640  1828574  1684429 2918161 1022902 2115949 1577984 2358827   351907   864734 1837965  2225595
            1024      64  335313  891292  1744641  2072054 2497356 1038483 1976691 1279861 2592318   356434   858340 1720874  2056183
            1024     128  338725  916004  1741104  2178189 2572135 1181297 1893052 1099918 2509027   370230   895941 1643814  2077065
            1024     256  331176  849176  1587902  1835608 2094282  995171 1643814  830618 1983996   374523   878171 1490373  1825466
            1024     512  323347  768769  1314729  1507637 1648862  983548 1345623  502170 1389145   453495  1046071 1347311  1497127
            1024    1024  305413  724790  1172909  1193442 1192117  770010 1192117  314101 1223356   321099   736599 1186518  1199106
            2048       4  314640  712100  1440344  1491617 1434092  819509 1188621 1109981 1267362   319699   700658 1403858  1429082
            2048       8  326578  780491  1642495  1708146 1777789  949919 1446407 1469167 1438174   328841   748786 1625402  1674514
            2048      16  351415  827801  1777789  1870302 2147051 1073902 1617749 1873974 1817281   334631   779641 1768638  1833573
            2048      32  340481  843489  1838281  1915768 2268385 1106978 1677130 1654199 1706788   338789   797816 1818820  1903457
            2048      64  338455  845898  1774484  1838675 2062010 1088186 1691329 1388428 1703741   343051   801538 1743156  1838281
            2048     128  337286  840682  1765730  1860176 2096227 1045410 1712573 1323196 2680329   344661   809164 1712573  1833573
            2048     256  331123  820526  1639674  1761024 1996356 1012867 1637174 1070022 2298737   338628   779570 1608961  1753117
            2048     512  323223  758238  1357061  1442279 1455722  832857 1388428  682455 1591375   345535   734822 1417292  1463909
            2048    1024  311966  701631  1129094  1139731 1137166  760520 1125839  436019 1139731   432158   915497 1130878  1145354
            2048    2048  304350  710393  1122162  1132220 1127020  751538 1122749  308161 1131474   311864   701860 1124071  1135212
            4096       4  311055  707432  1443831  1505842 1329937  764745 1238206 1227852 1218706   307091   670596 1331999  1437188
            4096       8  324333  776919  1642465  1715275 1642465  893723 1480920 1498095 1466008   319252   734848 1605624  1674646
            4096      16  333416  817395  1778674  1867822 1887523  966474 1665070 1849324 1761711   329048   775761 1773166  1853314
            4096      32  337370  835929  1824383  1912954 2027648 1027577 1759366 1817051 1857723   333519   798439 1835102  1903205
            4096      64  337198  832527  1773899  1854114 1949642 1007333 1731875 1482965 1741354   332551   783760 1757206  1844955
            4096     128  336426  843150  1781625  1856719 1913167  992722 1785514 1479262 1763338   334747   792875 1770061  1851716
            4096     256  333254  815456  1672363  1731875 1808444  937315 1655602 1294561 2368720   322979   731936 1668465  1734148
            4096     512  320706  749924  1382373  1435147 1410404  851888 1397895  853666 1800484   310510   644338 1409479  1436707
            4096    1024  311270  689323  1103125  1108464 1105255  756962 1104615  567314 1104615   336901   666459 1092255  1101075
            4096    2048  308458  695659  1095738  1107606 1105539  761053 1105183  437516 1110326   427564   885980 1093158  1105539
            4096    4096  303178  686897  1095808  1099032 1101711  734188 1102913  312124 1105539   312532   686211 1090521  1101711
            8192       4  304694  719985  1448628  1509203 1281993  742771 1254929 1274243 1222339   298562   676975 1401019  1447834
            8192       8  321065  776775  1638377  1712352 1569668  850682 1495995 1545660 1506424   312802   743446 1619993  1680691
            8192      16  329802  833876  1793792  1835181 1824074  911645 1714831 1925259 1750475   322125   773401 1772417  1846225
            8192      32  331204  846282  1839701  1874119 1937199  955876 1809568 1794073 1854195   323358   784902 1824074  1905190
            8192      64  332685  832180  1771229  1853395 1878525  940002 1776265 1605009 1772051   322382   773557 1785960  1844144
            8192     128  331741  833189  1792201  1872893 1892805  944888 1802354 1632151 1801598   324767   770729 1804816  1855497
            8192     256  329366  815781  1709541  1777368 1780038  902403 1709541 1473920 1690781   313113   707619 1696374  1738518
            8192     512  317851  745543  1395783  1416090 1417024  802895 1387778  949562 1738166   291840   602138 1393689  1414399
            8192    1024  306174  689735  1086171  1094719 1090826  751544 1071939  658739 1100786   297835   590669 1091693  1099448
            8192    2048  305556  688395  1092144  1099588 1094754  729478 1087891  570790 1098428   331067   661593 1084183  1093430
            8192    4096  305866  689279  1080161  1090099 1091103  735836 1084765  450626 1098253   436697   875857 1089650  1097832
            8192    8192  315111  696361  1091970  1100187 1097236  704384 1092387  319201 1103296   315016   690262 1088787  1096500
           16384       4  309108  717968  1461407  1510059 1249063  697491 1264206 1275019 1212287   304683   676021 1413375  1447493
           16384       8  326797  777740  1661825  1724288 1545654  804839 1531359 1561990 1519575   321558   738682 1639073  1696408
           16384      16  339810  826682  1864347  1916016 1803622  872375 1763584 1876975 1739081   328388   773051 1813188  1873291
           16384      32  343127  838187  1892535  1947234 1899125  904551 1856540 1684185 1837183   327608   788792 1891909  1944919
           16384      64  341170  849575  1855287  1893891 1877591  911026 1825955 1585597 1840874   332244   774253 1838215  1882786
           16384     128  340355  852220  1859906  1896923 1897604  929171 1858196 1602195 1872883   329539   775651 1853435  1892378
           16384     256  336627  822733  1800032  1822855 1801636  906197 1790837 1587611 1783818   312022   701070 1795470  1825955
           16384     512  323672  745987  1402472  1425691 1418422  804359 1400814 1008240 1400243   290341   586965 1391059  1413521
           16384    1024  312551  691392  1086528  1099972 1098197  731168 1091325  717084 1100712   287943   563876 1083240  1095256
           16384    2048  311957  688407  1098478  1107025 1097898  746530 1095623  660746 1092488   298058   597037 1093879  1101012
           16384    4096  304726  693241  1084539  1096200 1091915  723425 1088714  561709 1085962   340659   671253 1090736  1100272
           16384    8192  301470  695887  1090165  1100924 1094367  740449 1092401  452295 1091828   437782   879161 1092192  1100113
           16384   16384  314864  699301  1106811  1114855 1113807  730577 1105831  316855 1113879   315719   711044 1104179  1112977
           32768       4  307975  716149  1434557  1508945 1201570  673268 1254900 1170113 1178622   293683   677236 1382257  1428919
           32768       8  321949  789399  1683685  1747524 1506645  781530 1532568 1427420 1479097   315857   745691 1659213  1705879
           32768      16  333357  839579  1870864  1925729 1768572  876290 1778067 1819135 1751934   322862   771518 1841732  1888992
           32768      32  328267  841888  1935029  1976236 1885494  910144 1871603 1691685 1861060   323784   787580 1914010  1956626
           32768      64  337137  854088  1878356  1907448 1868295  906070 1865101 1625807 1851084   322666   777946 1835338  1874820
           32768     128  336541  847045  1895191  1918150 1900695  913338 1890915 1607457 1884511   323862   790066 1872036  1896185
           32768     256  333611  832353  1809578  1839341 1813997  907147 1804920 1476904 1796005   311331   712318 1839957  1854130
           32768     512  320535  755234  1416198  1427480 1413329  806103 1408592 1157343 1411877   286997   586912 1406949  1418346
           32768    1024  311615  698305  1087197  1096802 1096285  745286 1092999  758732 1092929   280740   554722 1087515  1097897
           32768    2048  310535  703916  1086905  1097423 1092087  744068 1094234  717480 1088859   280723   567538 1091064  1100517
           32768    4096  310506  696539  1075667  1099082 1092955  751386 1094130  668721 1080063   303151   594266 1088963  1098493
