	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:28:18 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino3.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  286849  913649  1330167  2892445 1828508  712397 1562436  866463 2203800   321554   754443 1421755  2662899
              64       8  321554 1105556  1679761  3588436 2801873  983980 2561267 1013707 2892445   347801   866463 1679761  3363612
              64      16  316997 1168097  1734015  4274062 3363612  929467 3203069  842003 4274062   467815  1033216 1828508  3958892
              64      32  331481 1210227  1638743  4564786 3791156 1143223 3363612  598110 3541098   587635  1279447 1768283  4018152
              64      64  329852 1124074  1363961  3406295 3057153  852702 2923952  336467 1049372   318124  1143223 1163036  3203069
             128       4  314547  983630  1521718  2727923 2035099  830034 1967960 1065630 1802755   334123   748976 1487977  2464907
             128       8  321516 1057236  1684006  3359523 2608629  859260 2608629 1172704 2985839   331646  1057236 1603529  3199360
             128      16  324039 1133103  1778862  3867787 3359523 1032829 3297617 1111981 3468030   371073   934004 1852520  3759450
             128      32  335166 1142750  1778862  3759450 3359523  914904 3297617  859260 2286447   428193  1346196 1642783  3867787
             128      64  329812 1093856  1579934  3277486 2727923 1123617 3053774  537512 1618028   524900  1802755 1455701  3277486
             128     128  324823 1111981  1243315  3036502 2905056  836500 2843510  347758 1111981   332467  1121270 1209698  3036502
             256       4  310257  965763  1413179  2486631 1868008  794889 1911233 1158540 1842366   325691   740100 1471270  2371308
             256       8  326087 1084800  1683493  3159869 2563818  931416 2582316 1415041 2533571   351607   833776 1729594  2943325
             256      16  338633 1163562  1829808  3810220 3285566  970126 3236056 1306564 3410808   365740  1112909 1790149  3667079
             256      32  331626 1173737  1778290  3770085 3410808 1098113 3197509 1108314 2692393   373760  1173737 1814348  3756894
             256      64  329085 1123389  1683493  3123106 2943325  927393 2943325  790209 2081678   437582  1292410 1662639  3087188
             256     128  329894 1128110  1543163  3052087 3009318 1070737 2903529  493264 2754556   516270  1319408 1579483  3087188
             256     256  332036 1153561  1340826  3159869 3123106  852984 3052087  345943 1197295   338633  1137672 1178892  2975955
             512       4  313510  926116  1333173  2449212 1795846  776721 1789859 1166599 1674052   322599   740816 1437592  2256220
             512       8  321392 1060063  1674052  3104171 2509312  917412 2413429 1454140 2413429   332232   820650 1707325  2942541
             512      16  334404 1115109  1842059  3299730 3122224  996139 2958758 1580419 2926501   349479   857687 1834193  2486072
             512      32  341803 1138158  1889050  3533174 3239989 1002183 2942541 1319250 3099691   359062  1071167 1842059  3431550
             512      64  330952 1084694  1753325  2942541 2942541 1082507 2722449 1026126 2922519   371806   911184 1778004  2926501
             512     128  332232 1071167  1650887  2875558 2830083  941133 2572435  803757 2073249   424588  1179413 1605228  2811557
             512     256  334196 1020276  1524329  2668325 2796910 1120344 2275345  558977 1696534   472825  1312798 1402845  2651850
             512     512  327969  866338  1242896  1783912 1823291  861818 1616100  333988 1282994   344048   887461 1207940  1809465
