	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:27:19 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino0.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  294723  942521  1304314  2801873 1690338  679917 1734015  789967 2133730   318502   743988 1421755  2662899
              64       8  323102 1029254  1722886  3588436 2923952  955947 2662899  889431 3363612   353760   863676 1679761  3363612
              64      16  336467 1143223  1780008  4018152 3363612  929467 3022727  735831 2133730   438043  1279447 2892445  3541098
              64      32  367817 1163036  1599680  3958892 3738358 1163036 3363612  598110 1734015   546928  1879725 3588436  4018152
              64      64  367817 1163036  1304314  3363612 3165299  863676 3057153  342040 1143223   331891  1124074 1183548  3203069
             128       4  304037  942199  1319723  2571150 1885042  790905 1885042  990891 1732927   328199   744820 1436229  2377579
             128       8  329812 1067750  1684006  3380677 2905056  895074 2714132 1281909 3560017   352785   795593 1705404  3124872
             128      16  345075 1111981  1778862  3895854 3468030 1093856 3199360 1142750 4444086   358438  1185654 1778862  3759450
             128      32  328199 1111981  1705404  3895854 3468030  955616 3380677  859260 3759450   438331  1000121 1827299  3560017
             128      64  336848 1085013  1622919  3359523 3199360 1102844 3036502  522855 3199360   526444  1306873 1598754  3124872
             128     128  336005 1123617  1306873  3124872 2985839  864797 2920861  345965 1123617   338547  1165070 1229084  3124872
             256       4  306188  948698  1422540  2557711 1911233  780445 1938842 1084800 1805197   326583   729045 1471270  2392442
             256       8  321690 1080434  1579483  3207059 2588541  924200 2486631 1312954 2413957   343618   814795 1715775  3087188
             256      16  334206 1158540  1802167  3605511 3285566  958008 3197509 1241598 3557725   358056   867455 1775350  3465855
             256      32  337251 1137672  1817419  3705040 3275543 1098113 3368013 1122215 3009318   380381  1147398 1755037  3557725
