	Iozone: Performance Test of File I/O
	        Version $Revision: 3.247 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, 
	             Jean-Marc Zucconi, Jeff Blomberg,
	             Erik Habbinga, Kris Strecker, Walter Wong.

	Run began: Wed May 17 13:17:03 2006

	Auto Mode
	Using maximum file size of 131072 kilobytes.
	Using Maximum Record Size 16384 KB

	Machine = Linux dino1.ccrl-nece.de 2.6.9-11.ELsmp #1 SMP Wed Jun 8 16:59:12 CDT 2005 x86_64 x86_64 x86_64 GNU
	Command line used: ./iozone -a -g 128m -q 16m -M -f /tmp/iozone.dat
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd  record  stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read rewrite    read   fwrite frewrite   fread  freread
              64       4  296349  952555  1310683  2892445 1780008  735831 1780008  901377 2222043   336889   763021 1492919  2662899
              64       8  336889 1029254  1679761  3363612 2662899  998622 2561267  983980 3363612   363829   901377 1690338  3203069
              64      16  347801 1204796  1828508  4274062 3588436  969761 3203069  831569 3022727   491815  1049372 1828508  4274062
              64      32  349613 1255511  1638743  4207076 4274062 1188789 3363612  633392 1599680   560635  1933893 3203069  3738358
              64      64  359444 1210227  1279447  3738358 3363612  901377 3203069  355635 1163036   328238  1163036 1183548  3203069
             128       4  319983  955616  1471662  2608629 1827299  809997 1885042 1085013 1710838   339618   752124 1492113  2453642
             128       8  333293 1111981  1705404  3277486 2660335  889145 2608629 1306873 3053774   360605   831319 1705404  3036502
             128      16  343310 1172704  1778862  3785961 3199360 1093856 3199360 1220700 3867787   367768  1185654 1727352  3560017
             128      32  343970 1220700  1772988  3867787 3468030  992724 3359523  883293 3759450   457376  1015251 1858934  3657016
             128      64  346859 1133103  1543594  3036502 2905056 1111981 2920861  551312 2843510   531131  1359835 1618028  2985839
             128     128  336005 1175271  1281909  2969325 2905056  876086 2843510  355589 1102844   345075  1185654 1243315  3124872
             256       4  329085  977189  1445521  2563818 1897721  783292 1897721 1201314 1763685   346949   766517 1514860  2435861
             256       8  337781 1108314  1683493  3245838 2563818  941213 2588541 1471270 2413957   358534   836374 1729594  3052087
             256      16  345943 1195962  1814348  3454704 3159869  992545 3159869 1319408 3378611   383232   897923 1622442  3017775
             256      32  352184 1208072  1826695  3717869 3368013 1112909 3368013 1158540 3123106   388501  1195962 1755037  3654598
             256      64  348300 1153561  1683493  3159869 2975955  944525 2975955  820398 2097948   464460  1319408 1652404  3159869
             256     128  345054 1169901  1514860  3017775 2943325 1132871 2872459  563997 2842047   541253  1376935 1619994  2943325
             256     256  348300 1128110  1300235  2842047 2665657  904732 2557711  365242 1185399   357103  1117543 1173737  2812272
             512       4  328622  929322  1376763  2360376 1834193  798675 1764853 1210664 1354190   309399   884536 1459080  2285029
             512       8  339748 1064794  1684557  3046915 2460437  904658 2438090 1454140 2402629   350907   825699 1723770  2891043
             512      16  346211 1147892  1823291  3604335 3201349 1024169 3012719 1399189 2906696   361054   873740 1895721  3481620
             512      32  335974 1187895  1834193  3550700 3346002 1034032 3104171 1380303 3393590   364920  1105920 1874212  3556580
             512      64  346435 1105920  1734911  2942541 2875558 1118011 2678309 1075998 2350044   388768  1098566 1729323  2926501
             512     128  345487 1053304  1657257  2739816 2782414  979331 2449212  824431 2097550   445553  1160923 1610042  2768068
             512     256  343388 1042566  1483267  2622702 2782414 1150968 2256220  585176 1647088   474078  1350783 1380303  2625909
             512     512  331156  893368  1442420  2016784 1954379  973559 1222379  349707 1329871   341585   893368 1193175  2007358
            1024       4  316345  759659  1396825  1709231 1701108  806899 1289855 1247519 1378002   323128   736220 1440391  1609925
            1024       8  311346  848337  1695065  2064088 2220992  966941 1756054 1594978 1560781   335838   810859 1675884  1999700
            1024      16  336971  890553  1809317  2250080 2592318 1035479 1845071 1577404 1777861   347241   859714 1828574  2197132
            1024      32  346066  931702  1869160  2311849 2968586 1098792 2151996 1541732 1865101   351504   864908 1831694  2240689
            1024      64  344429  908640  1793451  2133821 2514903 1047091 2011877 1326505 2837198   371671   871578 1741104  2115949
            1024     128  355549  916786  1738286  2086145 2491561 1203474 1875690 1120580 2516377   388024   908640 1673273  2039583
            1024     256  353471  865605  1646334  1984913 2120127 1032244 1715375  872286 2132761   377984   890369 1554004  1965834
            1024     512  340767  793189  1329791  1508167 1667426 1033237 1396825  514564 1408737   460447  1065535 1398645  1492445
            1024    1024  304590  731455  1206178  1236386 1216082  782923 1231070  322716 1236742   329980   730833 1213334  1212991
            2048       4  322314  711864  1425051  1512364 1449580  834962 1206992 1272808 1202599   312386   682184 1392253  1432179
            2048       8  323126  772837  1639674  1718053 1794877  953398 1428131 1626633 1452276   327262   743150 1635615  1684034
            2048      16  334371  842827  1802788  1873565 2169829 1104700 1637174 1648801 1667687   335573   776048 1773385  1839856
            2048      32  346524  843489  1826943  1915768 2245261 1114735 1678768 1718397 1709505   346888   804390 1807720  1892553
            2048      64  336124  832454  1738569  1823840 2033695 1092338 1693997 1381728 1688337   343448   798187 1741742  1833573
            2048     128  346944  845232  1759581  1851755 2094183 1025442 1703741 1324624 3012103   355002   812686 1728424  1843410
            2048     256  342763  834232  1693997  1838675 2019827 1031228 1705094 1127612 2479196   339070   774300 1671581  1825390
            2048     512  331724  763020  1380173  1453505 1448358  837976 1396100  690964 1562145   355370   733505 1400881  1447138
            2048    1024  314111  690020  1126577  1134613 1129540  779004 1133864  453490 1129688   434541   906129 1126577  1138522
            2048    2048  316974  698266  1112425  1145354 1140336  725206 1128946  322120 1142156   314594   699460 1123483  1137768
            4096       4  319175  704878  1434069  1500843 1321751  771096 1233671 1077864 1213284   314374   676564 1393586  1452989
            4096       8  332628  784511  1583864  1733448 1652894  871110 1509149 1504260 1459160   332390   740166 1619702  1690465
            4096      16  336261  834022  1809968  1881528 1892721  987927 1684828 1768603 1692630   340028   758231 1693297  1853314
            4096      32  352524  859775  1837653  1930364 2057270 1039075 1768603 1622302 1787185   344487   794562 1829435  1912315
            4096      64  339544  831157  1779226  1854114 1969309 1018138 1743829 1542759 1743121   340763   778397 1714591  1858527
            4096     128  344059  842819  1779964  1861951 1913167 1000760 1780886 1504129 1763882   344985   785731 1781625  1860137
            4096     256  335926  835076  1754873  1838440 1927548  984135 1760087 1384267 2675656   330745   732623 1698151  1850121
            4096     512  322089  751137  1410057  1460773 1463386  849445 1420786  834914 1936675   317125   640590 1409479  1433112
            4096    1024  303430  692239  1101923  1109752 1105539  761593 1102559  560484 1110326   337622   669055 1091145  1107320
            4096    2048  303184  685965  1096017  1111835 1099032  762776 1107606  446186 1105468   432113   878594 1104970  1116097
            4096    4096  311699  690625  1100440  1104899 1103763  735225 1104615  324431 1113348   315778   689212 1081596  1102276
            8192       4  311661  719925  1464933  1524943 1288048  748059 1269864 1348244 1211479   299700   683805 1402220  1451995
            8192       8  327326  791192  1681761  1756829 1603436  864944 1536949 1657264 1533245   314494   748613 1648597  1706993
            8192      16  337705  824057  1792201  1875858 1822913  909618 1714146 1960746 1756829   335309   775688 1776173  1855497
            8192      32  345026  841082  1852995  1886259 1935781  946189 1817705 1790613 1860923   334096   792560 1851697  1920739
            8192      64  338190  833371  1799240  1855898 1872485  939463 1790987 1616107 1833516   332602   759855 1800088  1855898
            8192     128  345668  835052  1799240  1882332 1900763  941599 1811954 1560968 1808045   333334   772757 1820498  1871669
            8192     256  332425  835153  1810426  1857101 1867295  933465 1787818 1516195 1835083   321567   718855 1792949  1839602
            8192     512  328217  752038  1407274  1423954 1438680  811638 1396067  920856 1914425   301108   605161 1397941  1418545
            8192    1024  309352  689154  1091103  1104324 1095347  756126 1090965  660055 1101668   303972   592840 1085896  1094579
            8192    2048  312373  694714  1095347  1100187 1099729  730641 1094614  568297 1108099   335338   664716 1090826  1104963
            8192    4096  306414  685346  1079449  1086789 1086755  740961 1084320  445965 1092005   424635   880007 1091381  1099624
            8192    8192  309271  697251  1090515  1112296 1110786  719036 1103296  310210 1111073   312041   697492 1091658  1101810
