set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.350777	0.00000000
0	1	1	32	10.251999	3.12134251
0	1	1	64	10.290146	6.21954254
0	1	1	96	11.098385	8.64990728
0	1	1	128	12.710094	10.07073555
0	1	1	160	12.950897	12.35435641
0	1	1	192	13.689995	14.02484096
0	1	1	224	14.050007	15.94305271
0	1	1	256	15.199184	16.84300900
0	1	1	288	15.430450	18.66439357
0	1	1	320	16.021729	19.97287619
0	1	1	352	16.419888	21.43741844
0	1	1	384	17.111301	22.44130885
0	1	1	416	17.418861	23.88215801
0	1	1	448	18.010139	24.87487678
0	1	1	480	18.329620	26.18712175
0	1	1	512	18.980503	26.97504896
0	1	1	544	19.249916	28.25986346
0	1	1	576	19.750595	29.16367822
0	1	1	608	20.101070	30.24714544
0	1	1	640	20.670891	30.96141361
0	1	1	672	21.018982	31.97110127
0	1	1	704	21.679401	32.47322134
0	1	1	736	21.970272	33.49981274
0	1	1	768	22.540092	34.07261976
0	1	1	800	22.978783	34.81472505
0	1	1	832	23.560524	35.31330629
0	1	1	864	23.860931	36.20981871
0	1	1	896	24.650097	36.34874150
0	1	1	928	25.010109	37.10499630
0	1	1	960	25.479794	37.67691438
0	1	1	992	25.780201	38.47914148
0	1	1	1024	26.469231	38.68642854
# Model complexity is (1.036185e-05 + n * 1.598862e-08)
# startup = 10.36 usec and transfer rate = 62.54 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.361854+0.015989*x'
join dots
wait
new page
