set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.682178	0.00000000
0	1	1	32	10.468960	3.05665516
0	1	1	64	10.638237	6.01603442
0	1	1	96	11.529922	8.32616179
0	1	1	128	13.411045	9.54437177
0	1	1	160	13.730526	11.65286751
0	1	1	192	14.488697	13.25170920
0	1	1	224	14.700890	15.23717314
0	1	1	256	15.420914	16.60083216
0	1	1	288	15.618801	18.43931540
0	1	1	320	16.400814	19.51122663
0	1	1	352	16.689301	21.09135726
0	1	1	384	17.290115	22.20922140
0	1	1	416	17.418861	23.88215801
0	1	1	448	18.279552	24.50825867
0	1	1	480	18.517971	25.92076632
0	1	1	512	19.211769	26.65033070
0	1	1	544	19.400120	28.04106398
0	1	1	576	20.151138	28.58399319
0	1	1	608	20.489693	29.67345627
0	1	1	640	21.090508	30.34540538
0	1	1	672	21.409988	31.38721924
0	1	1	704	22.101402	31.85318248
0	1	1	736	22.399426	32.85798557
0	1	1	768	23.109913	33.23249223
0	1	1	800	23.210049	34.46782948
0	1	1	832	24.039745	34.60935166
0	1	1	864	24.380684	35.43789024
0	1	1	896	24.979115	35.86996644
0	1	1	928	25.269985	36.72340893
0	1	1	960	25.978088	36.95422026
0	1	1	992	26.309490	37.70502554
0	1	1	1024	27.019978	37.89788490
# Model complexity is (1.074049e-05 + n * 1.600388e-08)
# startup = 10.74 usec and transfer rate = 62.48 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.740493+0.016004*x'
join dots
wait
new page
