set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	14.491081	0.00000000
0	1	1	32	11.959076	2.67579203
0	1	1	64	11.210442	5.70896333
0	1	1	96	11.818409	8.12292080
0	1	1	128	13.389587	9.55966724
0	1	1	160	13.728142	11.65489128
0	1	1	192	14.529228	13.21474184
0	1	1	224	14.729500	15.20757682
0	1	1	256	15.428066	16.59313590
0	1	1	288	15.602112	18.45903961
0	1	1	320	16.400814	19.51122663
0	1	1	352	16.670227	21.11548924
0	1	1	384	17.230511	22.28604865
0	1	1	416	17.488003	23.78773639
0	1	1	448	18.279552	24.50825867
0	1	1	480	18.529892	25.90409058
0	1	1	512	19.137859	26.75325337
0	1	1	544	19.428730	27.99977146
0	1	1	576	20.179749	28.54346767
0	1	1	608	20.520687	29.62863753
0	1	1	640	21.090508	30.34540538
0	1	1	672	21.388531	31.41870793
0	1	1	704	22.079945	31.88413795
0	1	1	736	22.439957	32.79863731
0	1	1	768	23.069382	33.29087921
0	1	1	800	23.260117	34.39363674
0	1	1	832	24.080276	34.55109830
0	1	1	864	24.399757	35.41018816
0	1	1	896	25.010109	35.82551367
0	1	1	928	25.291443	36.69225219
0	1	1	960	25.990009	36.93727034
0	1	1	992	26.409626	37.56206164
0	1	1	1024	27.000904	37.92465604
# Model complexity is (1.154450e-05 + n * 1.487297e-08)
# startup = 11.54 usec and transfer rate = 67.24 Mbytes/sec
# Variance in fit = 0.000016 (smaller is better)
plot square
join
set function x 0 1024 '11.544500+0.014873*x'
join dots
wait
new page
