set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.718998	0.00000000
0	1	1	32	1.769066	18.08864259
0	1	1	64	1.759529	36.37336802
0	1	1	96	1.978874	48.51243181
0	1	1	128	2.019405	63.38499551
0	1	1	160	2.038479	78.48989942
0	1	1	192	2.222061	86.40626266
0	1	1	224	2.319813	96.55951655
0	1	1	256	2.338886	109.45380469
0	1	1	288	2.548695	112.99902264
0	1	1	320	2.567768	124.62184587
0	1	1	352	2.598763	135.44908330
0	1	1	384	2.789497	137.65920821
0	1	1	416	2.930164	141.97155932
0	1	1	448	2.958775	151.41403642
0	1	1	480	3.108978	154.39155828
0	1	1	512	3.130436	163.55549490
0	1	1	544	3.209114	169.51718990
0	1	1	576	3.180504	181.10338111
0	1	1	608	3.287792	184.92652879
0	1	1	640	3.359318	190.51487296
0	1	1	672	3.530979	190.31548197
0	1	1	704	3.609657	195.03236565
0	1	1	736	3.681183	199.93573472
0	1	1	768	3.809929	201.57856521
0	1	1	800	3.879070	206.23498463
0	1	1	832	3.991127	208.46242103
0	1	1	864	4.110336	210.20177819
0	1	1	896	4.198551	213.40694969
0	1	1	928	4.248619	218.42391201
0	1	1	960	4.358292	220.26979431
0	1	1	992	4.439354	223.45593813
0	1	1	1024	4.451275	230.04645399
# Model complexity is (1.679058e-06 + n * 2.766003e-09)
# startup = 1.68 usec and transfer rate = 361.53 Mbytes/sec
# Variance in fit = 0.000003 (smaller is better)
plot square
join
set function x 0 1024 '1.679058+0.002766*x'
join dots
wait
new page
