set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.649857	0.00000000
0	1	1	32	1.900196	16.84036738
0	1	1	64	1.950264	32.81607042
0	1	1	96	2.219677	43.24953641
0	1	1	128	2.448559	52.27564869
0	1	1	160	2.641678	60.56756679
0	1	1	192	2.758503	69.60297044
0	1	1	224	2.939701	76.19822352
0	1	1	256	3.199577	80.01056811
0	1	1	288	3.068447	93.85855105
0	1	1	320	3.190041	100.31220329
0	1	1	352	3.361702	104.70886582
0	1	1	384	3.628731	105.82212457
0	1	1	416	3.771782	110.29269684
0	1	1	448	3.850460	116.34973325
0	1	1	480	3.941059	121.79467151
0	1	1	512	4.229546	121.05319324
0	1	1	544	4.370213	124.47907125
0	1	1	576	4.451275	129.40113037
0	1	1	608	4.618168	131.65394073
0	1	1	640	4.839897	132.23421478
0	1	1	672	4.999638	134.40974192
0	1	1	704	5.080700	138.56358592
0	1	1	736	5.218983	141.02365208
0	1	1	768	5.478859	140.17517285
0	1	1	800	5.648136	141.63964542
0	1	1	832	5.719662	145.46314831
0	1	1	864	5.891323	146.65636002
0	1	1	896	6.120205	146.40032661
0	1	1	928	6.258488	148.27863284
0	1	1	960	6.349087	151.20284792
0	1	1	992	6.520748	152.12978311
0	1	1	1024	6.740093	151.92668185
# Model complexity is (1.751391e-06 + n * 4.809385e-09)
# startup = 1.75 usec and transfer rate = 207.93 Mbytes/sec
# Variance in fit = 0.000005 (smaller is better)
plot square
join
set function x 0 1024 '1.751391+0.004809*x'
join dots
wait
new page
