set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.360313	0.00000000
0	1	1	32	10.249615	3.12206857
0	1	1	64	10.280609	6.22531206
0	1	1	96	11.079311	8.66479845
0	1	1	128	12.719631	10.06318485
0	1	1	160	12.960434	12.34526564
0	1	1	192	13.689995	14.02484096
0	1	1	224	14.021397	15.97558402
0	1	1	256	15.199184	16.84300900
0	1	1	288	15.449524	18.64135111
0	1	1	320	16.071796	19.91065539
0	1	1	352	16.407967	21.45299343
0	1	1	384	17.149448	22.39139074
0	1	1	416	17.359257	23.96415965
0	1	1	448	17.910004	25.01395357
0	1	1	480	18.250942	26.30001202
0	1	1	512	18.830299	27.19022092
0	1	1	544	19.180775	28.36173245
0	1	1	576	19.698143	29.24133508
0	1	1	608	20.058155	30.31186060
0	1	1	640	20.601749	31.06532300
0	1	1	672	20.840168	32.24542144
0	1	1	704	21.581650	32.62030508
0	1	1	736	21.879673	33.63852832
0	1	1	768	22.599697	33.98275632
0	1	1	800	22.859573	34.99627868
0	1	1	832	23.469925	35.44962341
0	1	1	864	23.767948	36.35147614
0	1	1	896	24.390221	36.73603503
0	1	1	928	24.700165	37.57059954
0	1	1	960	25.188923	38.11199091
0	1	1	992	25.610924	38.73347205
0	1	1	1024	26.190281	39.09847334
# Model complexity is (1.041089e-05 + n * 1.574622e-08)
# startup = 10.41 usec and transfer rate = 63.51 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.410894+0.015746*x'
join dots
wait
new page
