set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.652241	0.00000000
0	1	1	32	1.890659	16.92531248
0	1	1	64	2.019405	31.69249776
0	1	1	96	2.229214	43.06451166
0	1	1	128	2.458096	52.07283337
0	1	1	160	2.648830	60.40401800
0	1	1	192	2.729893	70.33243389
0	1	1	224	2.930164	76.44622425
0	1	1	256	3.170967	80.73246797
0	1	1	288	3.380775	85.18755656
0	1	1	320	3.178120	100.68846812
0	1	1	352	3.349781	105.08149523
0	1	1	384	3.600121	106.66309510
0	1	1	416	3.790855	109.73776503
0	1	1	448	3.850460	116.34973325
0	1	1	480	3.938675	121.86839709
0	1	1	512	4.229546	121.05319324
0	1	1	544	4.348755	125.09327719
0	1	1	576	4.439354	129.74860924
0	1	1	608	4.620552	131.58600784
0	1	1	640	4.858971	131.71514033
0	1	1	672	4.999638	134.40974192
0	1	1	704	5.090237	138.30398201
0	1	1	736	5.168915	142.38965609
0	1	1	768	5.450249	140.91100052
0	1	1	800	5.629063	142.11957645
0	1	1	832	5.710125	145.70609303
0	1	1	864	5.869865	147.19247181
0	1	1	896	6.151199	145.66265054
0	1	1	928	6.260872	148.22216725
0	1	1	960	6.349087	151.20284792
0	1	1	992	6.530285	151.90761475
0	1	1	1024	6.749630	151.71202035
# Model complexity is (1.773350e-06 + n * 4.779478e-09)
# startup = 1.77 usec and transfer rate = 209.23 Mbytes/sec
# Variance in fit = 0.000005 (smaller is better)
plot square
join
set function x 0 1024 '1.773350+0.004779*x'
join dots
wait
new page
