set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.709461	0.00000000
0	1	1	32	1.759529	18.18668401
0	1	1	64	1.759529	36.37336802
0	1	1	96	1.981258	48.45405343
0	1	1	128	1.997948	64.06574129
0	1	1	160	2.038479	78.48989942
0	1	1	192	2.219677	86.49907282
0	1	1	224	2.329350	96.16418588
0	1	1	256	2.331734	109.78955256
0	1	1	288	2.532005	113.74383729
0	1	1	320	2.548695	125.55446960
0	1	1	352	2.591610	135.82290782
0	1	1	384	2.789497	137.65920821
0	1	1	416	2.908707	143.01889049
0	1	1	448	2.930164	152.89244849
0	1	1	480	3.118515	153.91941284
0	1	1	512	3.130436	163.55549490
0	1	1	544	3.209114	169.51718990
0	1	1	576	3.178120	181.23924261
0	1	1	608	3.309250	183.72743746
0	1	1	640	3.359318	190.51487296
0	1	1	672	3.540516	189.80284768
0	1	1	704	3.609657	195.03236565
0	1	1	736	3.700256	198.90513814
0	1	1	768	3.819466	201.07524794
0	1	1	800	3.869534	206.74326556
0	1	1	832	3.969669	209.58924492
0	1	1	864	4.098415	210.81318534
0	1	1	896	4.189014	213.89279363
0	1	1	928	4.229546	219.40891274
0	1	1	960	4.270077	224.82031491
0	1	1	992	4.398823	225.51488173
0	1	1	1024	4.460812	229.55463902
# Model complexity is (1.678123e-06 + n * 2.752731e-09)
# startup = 1.68 usec and transfer rate = 363.28 Mbytes/sec
# Variance in fit = 0.000003 (smaller is better)
plot square
join
set function x 0 1024 '1.678123+0.002753*x'
join dots
wait
new page
