set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	14.059544	0.00000000
0	1	1	32	14.438629	2.21627688
0	1	1	64	14.369488	4.45388180
0	1	1	96	12.078285	7.94814812
0	1	1	128	16.369820	7.81926758
0	1	1	160	14.541149	11.00325693
0	1	1	192	16.329288	11.75801384
0	1	1	224	16.698837	13.41410760
0	1	1	256	17.440319	14.67863054
0	1	1	288	18.620491	15.46683165
0	1	1	320	19.860268	16.11257239
0	1	1	352	19.950867	17.64334379
0	1	1	384	20.499229	18.73241144
0	1	1	416	17.499924	23.77153221
0	1	1	448	18.291473	24.49228613
0	1	1	480	18.570423	25.84755322
0	1	1	512	19.240379	26.61070196
0	1	1	544	19.321442	28.15524896
0	1	1	576	20.158291	28.57385102
0	1	1	608	20.480156	29.68727395
0	1	1	640	21.088123	30.34883618
0	1	1	672	21.398067	31.40470516
0	1	1	704	22.089481	31.87037254
0	1	1	736	22.399426	32.85798557
0	1	1	768	23.069382	33.29087921
0	1	1	800	23.338795	34.27769129
0	1	1	832	24.111271	34.50668375
0	1	1	864	24.359226	35.46910694
0	1	1	896	25.031567	35.79480316
0	1	1	928	25.250912	36.75114826
0	1	1	960	26.009083	36.91018278
0	1	1	992	26.290417	37.73238023
0	1	1	1024	27.008057	37.91461243
# Model complexity is (1.371624e-05 + n * 1.228848e-08)
# startup = 13.72 usec and transfer rate = 81.38 Mbytes/sec
# Variance in fit = 0.000013 (smaller is better)
plot square
join
set function x 0 1024 '13.716242+0.012288*x'
join dots
wait
new page
