set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.621246	0.00000000
0	1	1	32	1.859665	17.20740103
0	1	1	64	1.959801	32.65638151
0	1	1	96	2.219677	43.24953641
0	1	1	128	2.448559	52.27564869
0	1	1	160	2.598763	61.56776514
0	1	1	192	2.689362	71.39240851
0	1	1	224	2.899170	77.26349474
0	1	1	256	3.149509	81.28249992
0	1	1	288	3.068447	93.85855105
0	1	1	320	3.149509	101.60312491
0	1	1	352	3.328323	105.75895473
0	1	1	384	3.578663	107.30264730
0	1	1	416	3.759861	110.64238833
0	1	1	448	3.838539	116.71106783
0	1	1	480	3.929138	122.16419417
0	1	1	512	4.158020	123.13553028
0	1	1	544	4.329681	125.64434890
0	1	1	576	4.410744	130.59022184
0	1	1	608	4.589558	132.47464062
0	1	1	640	4.811287	133.02054311
0	1	1	672	4.971027	135.18332317
0	1	1	704	5.049706	139.41407063
0	1	1	736	5.190372	141.80099881
0	1	1	768	5.431175	141.40585917
0	1	1	800	5.581379	143.33375481
0	1	1	832	5.679131	146.50129840
0	1	1	864	5.860329	147.43200391
0	1	1	896	6.101131	146.85800641
0	1	1	928	6.220341	149.18796903
0	1	1	960	6.330013	151.65844972
0	1	1	992	6.489754	152.85633975
0	1	1	1024	6.699562	152.84581125
# Model complexity is (1.725564e-06 + n * 4.797457e-09)
# startup = 1.73 usec and transfer rate = 208.44 Mbytes/sec
# Variance in fit = 0.000005 (smaller is better)
plot square
join
set function x 0 1024 '1.725564+0.004797*x'
join dots
wait
new page
