set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.391308	0.00000000
0	1	1	32	10.228157	3.12861837
0	1	1	64	10.311604	6.20660014
0	1	1	96	11.169910	8.59451834
0	1	1	128	12.738705	10.04811739
0	1	1	160	13.010502	12.29775774
0	1	1	192	13.740063	13.97373535
0	1	1	224	14.090538	15.89719283
0	1	1	256	15.170574	16.87477328
0	1	1	288	15.449524	18.64135111
0	1	1	320	16.109943	19.86350866
0	1	1	352	16.450882	21.39702910
0	1	1	384	17.220974	22.29839036
0	1	1	416	17.349720	23.97733220
0	1	1	448	18.010139	24.87487678
0	1	1	480	18.351078	26.15650149
0	1	1	512	18.949509	27.01917021
0	1	1	544	19.259453	28.24586997
0	1	1	576	19.810200	29.07593097
0	1	1	608	20.101070	30.24714544
0	1	1	640	20.658970	30.97927940
0	1	1	672	20.918846	32.12414279
0	1	1	704	21.688938	32.45894268
0	1	1	736	21.939278	33.54713914
0	1	1	768	22.578239	34.01505250
0	1	1	800	22.931099	34.88711998
0	1	1	832	23.460388	35.46403382
0	1	1	864	23.789406	36.31868767
0	1	1	896	24.540424	36.51118609
0	1	1	928	24.800301	37.41890129
0	1	1	960	25.389194	37.81136107
0	1	1	992	25.620461	38.71905423
0	1	1	1024	26.228428	39.04160800
# Model complexity is (1.044060e-05 + n * 1.579770e-08)
# startup = 10.44 usec and transfer rate = 63.30 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.440605+0.015798*x'
join dots
wait
new page
