set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.369850	0.00000000
0	1	1	32	10.211468	3.13373168
0	1	1	64	10.299683	6.21378370
0	1	1	96	11.119843	8.63321578
0	1	1	128	12.748241	10.04060056
0	1	1	160	12.991428	12.31581281
0	1	1	192	13.720989	13.99316017
0	1	1	224	14.090538	15.89719283
0	1	1	256	15.261173	16.77459497
0	1	1	288	15.420914	18.67593618
0	1	1	320	16.069412	19.91360950
0	1	1	352	16.429424	21.42497472
0	1	1	384	17.180443	22.35099550
0	1	1	416	17.399788	23.90833741
0	1	1	448	18.038750	24.83542416
0	1	1	480	18.360615	26.14291547
0	1	1	512	18.920898	27.06002581
0	1	1	544	19.259453	28.24586997
0	1	1	576	19.738674	29.18129127
0	1	1	608	20.091534	30.26150269
0	1	1	640	20.670891	30.96141361
0	1	1	672	20.930767	32.10584677
0	1	1	704	21.710396	32.42686159
0	1	1	736	22.008419	33.44174785
0	1	1	768	22.578239	34.01505250
0	1	1	800	22.950172	34.85812591
0	1	1	832	23.620129	35.22419429
0	1	1	864	23.851395	36.22429684
0	1	1	896	24.569035	36.46866942
0	1	1	928	24.938583	37.21141598
0	1	1	960	25.417805	37.76880068
0	1	1	992	25.730133	38.55401749
0	1	1	1024	26.311874	38.91778992
# Model complexity is (1.040395e-05 + n * 1.590203e-08)
# startup = 10.40 usec and transfer rate = 62.89 Mbytes/sec
# Variance in fit = 0.000017 (smaller is better)
plot square
join
set function x 0 1024 '10.403945+0.015902*x'
join dots
wait
new page
