set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.649857	0.00000000
0	1	1	32	1.919270	16.67300969
0	1	1	64	1.997948	32.03287064
0	1	1	96	2.219677	43.24953641
0	1	1	128	2.479553	51.62220308
0	1	1	160	2.620220	61.06357052
0	1	1	192	2.708435	70.88964507
0	1	1	224	2.901554	77.20000789
0	1	1	256	3.221035	79.47755914
0	1	1	288	3.080368	93.49532136
0	1	1	320	3.170967	100.91558496
0	1	1	352	3.359318	104.78318013
0	1	1	384	3.600121	106.66309510
0	1	1	416	3.821850	108.84781435
0	1	1	448	3.869534	115.77622871
0	1	1	480	3.941059	121.79467151
0	1	1	512	4.198551	121.94682839
0	1	1	544	4.348755	125.09327719
0	1	1	576	4.441738	129.67896425
0	1	1	608	4.611015	131.85816091
0	1	1	640	4.880428	131.13603127
0	1	1	672	4.978180	134.98909425
0	1	1	704	5.090237	138.30398201
0	1	1	736	5.180836	142.06202227
0	1	1	768	5.459785	140.66486777
0	1	1	800	5.600452	142.84560238
0	1	1	832	5.719662	145.46314831
0	1	1	864	5.869865	147.19247181
0	1	1	896	6.129742	146.17255480
0	1	1	928	6.229877	148.95959097
0	1	1	960	6.330013	151.65844972
0	1	1	992	6.508827	152.40840908
0	1	1	1024	6.759167	151.49796459
# Model complexity is (1.756682e-06 + n * 4.789737e-09)
# startup = 1.76 usec and transfer rate = 208.78 Mbytes/sec
# Variance in fit = 0.000005 (smaller is better)
plot square
join
set function x 0 1024 '1.756682+0.004790*x'
join dots
wait
new page
