set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.661777	0.00000000
0	1	1	32	1.759529	18.18668401
0	1	1	64	1.749992	36.57158801
0	1	1	96	1.950264	49.22410562
0	1	1	128	1.959801	65.31276302
0	1	1	160	2.040863	78.39820561
0	1	1	192	2.219677	86.49907282
0	1	1	224	2.310276	96.95811104
0	1	1	256	2.319813	110.35373320
0	1	1	288	2.520084	114.28188761
0	1	1	320	2.541542	125.90781238
0	1	1	352	2.570152	136.95686531
0	1	1	384	2.770424	138.60694802
0	1	1	416	2.930164	141.97155932
0	1	1	448	2.939701	152.39644704
0	1	1	480	3.128052	153.45014634
0	1	1	512	3.139973	163.05874320
0	1	1	544	3.199577	170.02245723
0	1	1	576	3.190041	180.56196592
0	1	1	608	3.287792	184.92652879
0	1	1	640	3.349781	191.05726406
0	1	1	672	3.540516	189.80284768
0	1	1	704	3.609657	195.03236565
0	1	1	736	3.688335	199.54801189
0	1	1	768	3.809929	201.57856521
0	1	1	800	3.879070	206.23498463
0	1	1	832	3.988743	208.58702499
0	1	1	864	4.079342	211.79886943
0	1	1	896	4.191399	213.77112537
0	1	1	928	4.241467	218.79224913
0	1	1	960	4.320145	222.21478146
0	1	1	992	4.379749	226.49698247
0	1	1	1024	4.389286	233.29534470
# Model complexity is (1.663159e-06 + n * 2.768269e-09)
# startup = 1.66 usec and transfer rate = 361.24 Mbytes/sec
# Variance in fit = 0.000003 (smaller is better)
plot square
join
set function x 0 1024 '1.663159+0.002768*x'
join dots
wait
new page
