set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.699924	0.00000000
0	1	1	32	1.759529	18.18668401
0	1	1	64	1.730919	36.97458072
0	1	1	96	1.988411	48.27975827
0	1	1	128	1.947880	65.71247393
0	1	1	160	2.048016	78.12440512
0	1	1	192	2.210140	86.87231586
0	1	1	224	2.300739	97.36000995
0	1	1	256	2.322197	110.24043368
0	1	1	288	2.539158	113.42343211
0	1	1	320	2.548695	125.55446960
0	1	1	352	2.570152	136.95686531
0	1	1	384	2.789497	137.65920821
0	1	1	416	2.918243	142.55150850
0	1	1	448	2.961159	151.29212496
0	1	1	480	3.128052	153.45014634
0	1	1	512	3.139973	163.05874320
0	1	1	544	3.190041	170.53074559
0	1	1	576	3.180504	181.10338111
0	1	1	608	3.268719	186.00560408
0	1	1	640	3.349781	191.05726406
0	1	1	672	3.540516	189.80284768
0	1	1	704	3.600121	195.54900768
0	1	1	736	3.681183	199.93573472
0	1	1	768	3.819466	201.07524794
0	1	1	800	3.869534	206.74326556
0	1	1	832	3.960133	210.09397520
0	1	1	864	4.060268	212.79381421
0	1	1	896	4.198551	213.40694969
0	1	1	928	4.241467	218.79224913
0	1	1	960	4.320145	222.21478146
0	1	1	992	4.398823	225.51488173
0	1	1	1024	4.382133	233.67613145
# Model complexity is (1.670401e-06 + n * 2.754548e-09)
# startup = 1.67 usec and transfer rate = 363.04 Mbytes/sec
# Variance in fit = 0.000003 (smaller is better)
plot square
join
set function x 0 1024 '1.670401+0.002755*x'
join dots
wait
new page
