set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	9.720325	0.00000000
0	1	1	32	10.509491	3.04486679
0	1	1	64	10.631084	6.02008199
0	1	1	96	11.539459	8.31928066
0	1	1	128	13.461113	9.50887198
0	1	1	160	13.809204	11.58647514
0	1	1	192	14.739037	13.02663164
0	1	1	224	14.739037	15.19773691
0	1	1	256	15.428066	16.59313590
0	1	1	288	15.678406	18.36921460
0	1	1	320	16.450882	19.45184464
0	1	1	352	20.868778	16.86730273
0	1	1	384	22.349358	17.18170190
0	1	1	416	26.619434	15.62767993
0	1	1	448	24.919510	17.97788167
0	1	1	480	20.930767	22.93274769
0	1	1	512	25.269985	20.26119113
0	1	1	544	26.378632	20.62275286
0	1	1	576	30.939579	18.61693075
0	1	1	608	37.138462	16.37116795
0	1	1	640	35.469532	18.04365504
0	1	1	672	22.919178	29.32042326
0	1	1	704	23.219585	30.31923212
0	1	1	736	23.691654	31.06579193
0	1	1	768	24.030209	31.95977252
0	1	1	800	23.179054	34.51391895
0	1	1	832	24.039745	34.60935166
0	1	1	864	24.340153	35.49690132
0	1	1	896	25.029182	35.79821284
0	1	1	928	25.260448	36.73727336
0	1	1	960	26.071072	36.82242195
0	1	1	992	26.438236	37.52141373
0	1	1	1024	27.029514	37.88451350
# Model complexity is (1.298439e-05 + n * 1.682962e-08)
# startup = 12.98 usec and transfer rate = 59.42 Mbytes/sec
# Variance in fit = 0.000018 (smaller is better)
plot square
join
set function x 0 1024 '12.984391+0.016830*x'
join dots
wait
new page
