set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.699924	0.00000000
0	1	1	32	1.778603	17.99165255
0	1	1	64	1.761913	36.32414831
0	1	1	96	1.959801	48.98457226
0	1	1	128	2.009869	63.68575469
0	1	1	160	2.050400	78.03356279
0	1	1	192	2.229214	86.12902332
0	1	1	224	2.348423	95.38315695
0	1	1	256	2.360344	108.45877010
0	1	1	288	2.548695	112.99902264
0	1	1	320	2.567768	124.62184587
0	1	1	352	2.610683	134.83059434
0	1	1	384	2.839565	135.23196776
0	1	1	416	2.949238	141.05339240
0	1	1	448	2.968311	150.92756562
0	1	1	480	3.159046	151.94459774
0	1	1	512	3.120899	164.05528251
0	1	1	544	3.209114	169.51718990
0	1	1	576	3.180504	181.10338111
0	1	1	608	3.318787	183.19948506
0	1	1	640	3.359318	190.51487296
0	1	1	672	3.530979	190.31548197
0	1	1	704	3.609657	195.03236565
0	1	1	736	3.678799	200.06531069
0	1	1	768	3.819466	201.07524794
0	1	1	800	3.890991	205.60313725
0	1	1	832	3.988743	208.58702499
0	1	1	864	4.079342	211.79886943
0	1	1	896	4.191399	213.77112537
0	1	1	928	4.251003	218.30140841
0	1	1	960	4.320145	222.21478146
0	1	1	992	4.439354	223.45593813
0	1	1	1024	4.429817	231.16078019
# Model complexity is (1.690961e-06 + n * 2.749668e-09)
# startup = 1.69 usec and transfer rate = 363.68 Mbytes/sec
# Variance in fit = 0.000003 (smaller is better)
plot square
join
set function x 0 1024 '1.690961+0.002750*x'
join dots
wait
new page
