set default
set font variable
set curve window y 0.15 0.90
set order d d d x y d
title left 'time (us)', bottom 'Size (bytes)',
      top 'Comm Perf for MPI (grisu17.ccrl-nece.de)',
 'type = blocking'

#p0	p1	dist	len	ave time (us)	rate (MB/sec)
0	1	1	0	1.649857	0.00000000
0	1	1	32	1.919270	16.67300969
0	1	1	64	1.990795	32.14795880
0	1	1	96	2.229214	43.06451166
0	1	1	128	2.458096	52.07283337
0	1	1	160	2.629757	60.84212511
0	1	1	192	2.729893	70.33243389
0	1	1	224	2.939701	76.19822352
0	1	1	256	3.199577	80.01056811
0	1	1	288	3.321171	86.71640718
0	1	1	320	3.180504	100.61298951
0	1	1	352	3.349781	105.08149523
0	1	1	384	3.590584	106.94639681
0	1	1	416	3.800392	109.46238795
0	1	1	448	3.859997	116.06227251
0	1	1	480	3.960133	121.20806261
0	1	1	512	4.200935	121.87761907
0	1	1	544	4.310608	126.20029735
0	1	1	576	4.439354	129.74860924
0	1	1	608	4.630089	131.31497590
0	1	1	640	4.839897	132.23421478
0	1	1	672	4.971027	135.18332317
0	1	1	704	5.080700	138.56358592
0	1	1	736	5.199909	141.54093278
0	1	1	768	5.471706	140.35840837
0	1	1	800	5.629063	142.11957645
0	1	1	832	5.710125	145.70609303
0	1	1	864	5.888939	146.71573506
0	1	1	896	6.117821	146.45738051
0	1	1	928	6.258488	148.27863284
0	1	1	960	6.370544	150.69355689
0	1	1	992	6.539822	151.68609435
0	1	1	1024	6.728172	152.19586449
# Model complexity is (1.769589e-06 + n * 4.782167e-09)
# startup = 1.77 usec and transfer rate = 209.11 Mbytes/sec
# Variance in fit = 0.000005 (smaller is better)
plot square
join
set function x 0 1024 '1.769589+0.004782*x'
join dots
wait
new page
